,number,work,volume,page,panel,metaphor,type1,type2,type3,,,,,
Sample_62,2174,March comes in Like a Lion (Sangatsu no Lion),10,71,2,included,a,,,,,,,
Sample_63,2177,March comes in Like a Lion (Sangatsu no Lion),10,92,"4,5,6",included,d,,,,,,,
Sample_64,2179,March comes in Like a Lion (Sangatsu no Lion),10,94,1,included,d,,,,,,,
Sample_65,2180,March comes in Like a Lion (Sangatsu no Lion),10,100,3,included,d,,,,,,,
Sample_66,2181,March comes in Like a Lion (Sangatsu no Lion),10,101,,not included,,,,,,,,
Sample_67,2182,March comes in Like a Lion (Sangatsu no Lion),10,102,"2,3,4",included,d,,,,,,,
Sample_68,2183,March comes in Like a Lion (Sangatsu no Lion),10,103,"2,3",included,d,,,,,,,
Sample_69,2184,March comes in Like a Lion (Sangatsu no Lion),10,105,4,included,d,,,,,,,
Sample_70,2185,March comes in Like a Lion (Sangatsu no Lion),10,106,1,included,a,,,,,,,
Sample_71,2188,March comes in Like a Lion (Sangatsu no Lion),10,109,"1,2,3,4",included,d,,,,,,,
Sample_72,2193,March comes in Like a Lion (Sangatsu no Lion),11,38,1,included,unclear,,,,,,,
Sample_73,2196,March comes in Like a Lion (Sangatsu no Lion),11,88,"2,4",included,a,,,,,,,
Sample_74,2200,March comes in Like a Lion (Sangatsu no Lion),11,109,2,included,d,,,,,,,
Sample_75,2202,March comes in Like a Lion (Sangatsu no Lion),11,130,1,included,d,,,,,,,
Sample_76,2203,March comes in Like a Lion (Sangatsu no Lion),11,132,3,included,c,,,,,,,
Sample_77,2204,March comes in Like a Lion (Sangatsu no Lion),11,133,"1,2",included,c,d,,,,,,
Sample_78,2207,March comes in Like a Lion (Sangatsu no Lion),12,14,,not included,,,,,,,,
Sample_79,2211,March comes in Like a Lion (Sangatsu no Lion),12,60,3,included,b,,,,,,,
Sample_80,2212,March comes in Like a Lion (Sangatsu no Lion),12,61,3,included,b,,,,,,,
Sample_81,2213,March comes in Like a Lion (Sangatsu no Lion),12,62,4,included,b,,,,,,,
Sample_82,2214,March comes in Like a Lion (Sangatsu no Lion),12,63,"1,3",included,d,,,,,,,
Sample_83,2215,March comes in Like a Lion (Sangatsu no Lion),12,68,"1,2,3,4,5",included,a,d,,,,,,
Sample_84,2216,March comes in Like a Lion (Sangatsu no Lion),12,69,"1,3",included,b,d,,,,,,
Sample_85,2217,March comes in Like a Lion (Sangatsu no Lion),12,71,6,included,d,,,,,,,
Sample_86,2218,March comes in Like a Lion (Sangatsu no Lion),12,"72,73",1,included,a,,,,,,,
Sample_87,2221,March comes in Like a Lion (Sangatsu no Lion),12,140,2,included,d,,,,,,,
Sample_88,2222,March comes in Like a Lion (Sangatsu no Lion),12,141,4,included,a,,,,,,,
Sample_89,2224,March comes in Like a Lion (Sangatsu no Lion),12,150,2,included,c,,,,,,,
Sample_90,2226,March comes in Like a Lion (Sangatsu no Lion),13,54,"1,2,3,4",included,d,,,,,,,
Sample_91,2227,March comes in Like a Lion (Sangatsu no Lion),13,55,"1,2,3,4",included,d,,,,,,,
Sample_92,2228,March comes in Like a Lion (Sangatsu no Lion),13,56,"1,2,3",included,d,,,,,,,
Sample_93,2231,March comes in Like a Lion (Sangatsu no Lion),13,72,1,not included,d,,,,,,,
Sample_94,2232,March comes in Like a Lion (Sangatsu no Lion),13,90,3,included,a,,,,,,,
Sample_95,2233,March comes in Like a Lion (Sangatsu no Lion),13,91,3,included,d,,,,,,,
Sample_96,2234,March comes in Like a Lion (Sangatsu no Lion),13,94,4,included,d,,,,,,,
Sample_97,2237,March comes in Like a Lion (Sangatsu no Lion),13,109,3,included,d,,,,,,,
Sample_98,2245,March comes in Like a Lion (Sangatsu no Lion),13,145,"1,2",included,d,,,,,,,
Sample_99,2246,March comes in Like a Lion (Sangatsu no Lion),13,146,,not included,,,,,,,,
Sample_100,2248,March comes in Like a Lion (Sangatsu no Lion),13,147,3,included,d,,,,,,,
Sample_101,2254,March comes in Like a Lion (Sangatsu no Lion),14,36,5,included,d,,,,,,,
Sample_102,2258,March comes in Like a Lion (Sangatsu no Lion),14,74,,not included,,,,,,,,
Sample_103,2259,March comes in Like a Lion (Sangatsu no Lion),14,75,1,included,d,,,,,,,
Sample_104,2261,March comes in Like a Lion (Sangatsu no Lion),14,89,1,included,d,,,,,,,
Sample_105,2263,March comes in Like a Lion (Sangatsu no Lion),14,137,"1,2,3",included,d,,,,,,,
Sample_106,2266,March comes in Like a Lion (Sangatsu no Lion),14,169,1,included,d,,,,,,,
Sample_107,1253,March comes in Like a Lion (Sangatsu no Lion),15,85,"3,4",included,d,,,,,,,
Sample_108,1297,March comes in Like a Lion (Sangatsu no Lion),15,37,1,included,d,,,,,,,
Sample_109,1298,March comes in Like a Lion (Sangatsu no Lion),15,64,"1,3",included,d,,,,,,,
Sample_110,1299,March comes in Like a Lion (Sangatsu no Lion),15,60,1,included,a,,,,,,,
Sample_111,1300,March comes in Like a Lion (Sangatsu no Lion),15,66,6,included,a,,,,,,,
Sample_112,1301,March comes in Like a Lion (Sangatsu no Lion),15,70,"2,3,4",included,d,,,,,,,
Sample_113,1302,March comes in Like a Lion (Sangatsu no Lion),15,71,"1,2",included,d,,,,,,,
Sample_114,1303,March comes in Like a Lion (Sangatsu no Lion),15,79,4,included,d,,,,,,,
Sample_115,1304,March comes in Like a Lion (Sangatsu no Lion),15,84,2,included,a,,,,,,,
Sample_116,1305,March comes in Like a Lion (Sangatsu no Lion),15,87,"1,2,3",included,d,,,,,,,
Sample_117,1306,March comes in Like a Lion (Sangatsu no Lion),15,98,2,included,a,,,,,,,
Sample_118,1307,March comes in Like a Lion (Sangatsu no Lion),15,101,2,included,b,d,,,,,,
Sample_119,1308,March comes in Like a Lion (Sangatsu no Lion),15,122,"2,3",included,d,,,,,,,
Sample_120,1309,March comes in Like a Lion (Sangatsu no Lion),15,127,1,included,d,,,,,,,
Sample_121,1310,March comes in Like a Lion (Sangatsu no Lion),15,132,1,included,d,,,,,,,
Sample_122,1311,March comes in Like a Lion (Sangatsu no Lion),15,133,1,included,d,,,,,,,
